Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Conventional,36,0.3174,0.006582662683139703,0.3044979811410462,0.3303020188589538,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,37,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,37,0.3188,0.006590395435783804,0.3058828249458637,0.3317171750541362,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,38,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,38,0.3216,0.00660565575851482,0.30865291471331097,0.33454708528668903,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,39,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,39,0.3252,0.0066248767535705905,0.3122152415630016,0.33818475843699836,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,40,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,40,0.3276,0.006637442881110164,0.31459061195302407,0.34060938804697594,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,41,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,41,0.3292,0.006645710797198446,0.31617440683749104,0.34222559316250895,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,42,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,42,0.3334,0.00666699992500375,0.3203326801469926,0.3464673198530073,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,43,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,43,0.3352,0.006675941281946689,0.3221151550873845,0.3482848449126155,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,44,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,44,0.3374,0.006686721767802217,0.32429402533510765,0.3505059746648923,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,45,0,0,0,0,0.995,303.8730841675049,2500,5000
