Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Anytime-valid,119,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,119,0.5156,0.007067625343777074,0.5017474543261968,0.5294525456738031,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,121,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,121,0.517,0.0070669795528217,0.5031487200764695,0.5308512799235305,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,122,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,122,0.5174,0.007066784841779181,0.5035491017101128,0.5312508982898871,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,123,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,123,0.5182,0.0070663818181584265,0.5043498916364095,0.5320501083635905,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,124,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,124,0.5186,0.007066173504804422,0.5047502999305833,0.5324497000694166,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,125,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,125,0.519,0.007065960656556191,0.5051507171131498,0.5328492828868502,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,127,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,127,0.52,0.007065408693062277,0.506151798961598,0.533848201038402,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,128,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,128,0.5202,0.007065294898303962,0.5063520219993243,0.5340479780006757,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,129,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,129,0.5212,0.007064708911200801,0.5073531705340464,0.5350468294659536,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,131,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,131,0.5214,0.007064588310722713,0.5075534069109835,0.5352465930890165,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,132,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,132,0.522,0.007064219702132713,0.5081541293838199,0.5358458706161802,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,133,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,133,0.5224,0.007063968289849552,0.5085546221518948,0.5362453778481051,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,135,0,0,0,0,0.995,303.8730841675049,2500,5000
