responseid,resp_order,contest,winner,orig_1ys,orig_3ys,orig_8ys,orig_FM_sp,orig_MD_sp,orig_law,orig_may,orig_leg,orig_1ch,orig_3ch,orig_45,orig_65,orig_cand_female
35usa voter,33,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35usa voter,33,3,1,1,0,0,0,0,1,0,0,1,0,1,0,1
36usa voter,34,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
36usa voter,34,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
36usa voter,34,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0
36usa voter,34,2,0,1,0,0,0,1,1,0,0,0,1,0,0,1
36usa voter,34,3,1,0,0,1,0,1,1,0,0,0,0,0,1,0
36usa voter,34,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1
37usa voter,35,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1
37usa voter,35,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
37usa voter,35,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0
37usa voter,35,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1
37usa voter,35,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1
37usa voter,35,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
38usa voter,36,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
38usa voter,36,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
38usa voter,36,2,1,0,1,0,1,0,0,0,0,0,1,1,0,1
38usa voter,36,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1
38usa voter,36,3,1,0,0,1,1,0,0,0,1,1,0,0,0,1
38usa voter,36,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1
39usa voter,37,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
39usa voter,37,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1
39usa voter,37,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1
39usa voter,37,2,1,0,0,1,1,0,1,0,0,1,0,0,1,0
39usa voter,37,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0
39usa voter,37,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0
40usa voter,38,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
40usa voter,38,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
40usa voter,38,2,1,0,0,1,1,0,0,1,0,1,0,1,0,1
40usa voter,38,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
40usa voter,38,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1
40usa voter,38,3,1,1,0,0,0,1,0,1,0,0,0,1,0,1
41usa voter,39,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1
41usa voter,39,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
41usa voter,39,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
41usa voter,39,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0
41usa voter,39,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
41usa voter,39,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
42usa voter,40,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0
42usa voter,40,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
42usa voter,40,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1
42usa voter,40,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
42usa voter,40,3,1,0,0,1,1,0,0,0,1,0,1,0,0,1
42usa voter,40,3,0,0,1,0,1,0,0,0,0,1,0,0,1,1
43usa voter,41,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1
43usa voter,41,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
43usa voter,41,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1
43usa voter,41,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
43usa voter,41,3,1,1,0,0,0,0,1,0,0,1,0,1,0,1
43usa voter,41,3,0,0,0,1,0,1,0,0,1,0,1,0,1,0
44usa voter,42,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44usa voter,42,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0
44usa voter,42,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0
44usa voter,42,2,1,0,1,0,1,0,1,0,0,1,0,1,0,1
44usa voter,42,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0
44usa voter,42,3,1,0,0,1,0,0,1,0,0,1,0,1,0,1
45usa voter,43,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1
45usa voter,43,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
45usa voter,43,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0
45usa voter,43,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
45usa voter,43,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
